Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"23 WILHELM Street, Kitchener, ON",MultiFamily,800000,2655,5091,6,3
"32 GILDNER STREET, Kitchener, ON",Single Family,600000,N/A,N/A,4,2
"680 PELHAM Street, Waterloo, ON",Single Family,1149000,3002,N/A,4,4
"2602 HURON Road, New Hamburg, ON",Single Family,1099000,N/A,N/A,3,2
"T201 - 62 BALSAM STREET E, Waterloo, ON",Condo,689900,N/A,N/A,3,3
"525 NEW DUNDEE Road Unit# 406, Kitchener, ON",Condo,665000,842,N/A,1,1
"48 TEMPLAR Court, Cambridge, ON",Single Family,799999,1200,N/A,4,2
"10 PALACE Street Unit# D1, Kitchener, ON",Condo,399900,885,N/A,2,2
"152 BUSH CLOVER Crescent, Kitchener, ON",Single Family,680000,1909,4044,4,3
"110 FERGUS Avenue Unit# 124, Kitchener, ON",Condo,499900,660,N/A,2,1
"122 OAT Lane, Kitchener, ON",Condo,599900,1220,3467,2,3
"104 GARMENT Street Unit# 2106, Kitchener, ON",Condo,439900,760,N/A,2,1
", Waterloo, ON",Condo,450000,N/A,N/A,2,2
"119B BLAIR ROAD, Cambridge, ON",Vacant Land,1599900,N/A,3000,N/A,0
"92 PEBBLECREEK Drive, Kitchener, ON",Single Family,1095000,2153,5715,4,4
"10 PALACE Street Unit# B10, Kitchener, ON",Condo,449900,780,2507,2,2
"131 ACTIVA AVENUE, Kitchener, ON",Single Family,599900,N/A,N/A,3,2
"776 PARIS BOULEVARD, Waterloo, ON",Single Family,699000,N/A,3348,3,4
"53 HETT Avenue, Kitchener, ON",Single Family,589000,N/A,3245,3,2
"46 CHERRY Street, Kitchener, ON",MultiFamily,1095000,2528,N/A,4,3
"103 ROGER Street Unit# 306, Waterloo, ON",Condo,638000,918,2500,2,2
"175 DAVID BERGEY Drive Unit# M62, Kitchener, ON",Condo,675000,1942,3195,3,3
", Waterloo, ON",Single Family,685000,N/A,N/A,3,2
"249 GREY SILO Road Unit# 307, Waterloo, ON",Condo,699900,1095,N/A,2,2
"5 MANOR Drive, Kitchener, ON",Single Family,599000,1640,N/A,3,3
"189 PARK Street, Waterloo, ON",Single Family,1295000,1800,N/A,3,2
"185 PARK Street, Waterloo, ON",Single Family,1285000,2800,N/A,4,3
"535 WINDFLOWER Crescent Unit# 50, Kitchener, ON",Condo,500000,N/A,N/A,2,2
"130 GREENBRIER Drive, Waterloo, ON",Single Family,799000,N/A,N/A,5,3
"2602 HURON Road, New Hamburg, ON",Agricultural,1099000,N/A,N/A,3,2
"24 MIDLAND Drive Unit# 301, Kitchener, ON",Single Family,239900,930,N/A,2,1
"45 KENNETH Avenue, Kitchener, ON",Single Family,650000,1838,3704,3,2
"208 - 247 NORTHFIELD DRIVE E, Waterloo, ON",Condo,430000,N/A,2400,1,1
"0 CONSERVATION Drive, Waterloo, ON",Vacant Land,3000000,N/A,N/A,N/A,0
"255 MAITLAND Street Unit# 2C, Kitchener, ON",Condo,549900,1212,N/A,2,2
"11 HENHOEFFER Crescent, Kitchener, ON",Single Family,789900,1660,N/A,3,2
"41 JADESTONE COURT, Kitchener, ON",Single Family,1299999,N/A,7454,6,6
"5 KRAFTWOOD Place, Waterloo, ON",Single Family,2795000,N/A,N/A,5,4
"181 KING Street S Unit# 1503, Waterloo, ON",Condo,489900,693,N/A,2,1
"320 MILL STREET, Kitchener, ON",Single Family,599000,N/A,3258,3,1
"180 EDGEHILL Drive, Kitchener, ON",Single Family,1225000,3397,N/A,4,2
"368 WARRINGTON Drive, Waterloo, ON",Single Family,1799000,4608,10714,3,4
"108 GARMENT Street S Unit# 1602, Kitchener, ON",Condo,536000,877,3355,2,2
"51 SEABROOK DRIVE, Kitchener, ON",Single Family,899900,N/A,N/A,3,4
"591 HILLVIEW Road, Cambridge, ON",Single Family,659900,1579,N/A,3,2
"254 SEABROOK Drive, Kitchener, ON",Single Family,1549900,N/A,7548,4,5
"580 BEAVER CREEK Road Unit# 9, Waterloo, ON",Single Family,153000,836,N/A,2,1
"101 SOUTH CREEK DRIVE, Kitchener, ON",Condo,649900,1595,3423,2,3
"199 OTTERBEIN ROAD, Kitchener, ON",Single Family,1089000,N/A,N/A,4,3
"578 PARKVIEW CRESCENT, Cambridge, ON",Single Family,615000,N/A,N/A,3,3
"169 OTTERBEIN ROAD, Kitchener, ON",Single Family,1049000,N/A,N/A,4,3
"305 BREMBEL Crescent, Kitchener, ON",Single Family,710000,N/A,N/A,3,2
"107 SETTLERS Court, Kitchener, ON",Single Family,649000,1460,N/A,3,2
"57 TINATAWA Court E, Kitchener, ON",Single Family,1200000,2543,5855,3,3
"545 LOWTHER Street S, Cambridge, ON",Single Family,660000,1493,3649,3,2
"25 PETER Street, Kitchener, ON",MultiFamily,695000,1708,N/A,5,3
"83 BRIDLEWREATH Street, Kitchener, ON",Single Family,839000,N/A,4111,3,3
"3 - 105 HOLBORN DRIVE, Kitchener, ON",Condo,2250,N/A,N/A,2,1
"59 SADDLEBROOK COURT, Kitchener, ON",Single Family,1099998,N/A,5918,4,3
"55 BLUE SPRINGS Drive Unit# 207, Waterloo, ON",Condo,494900,1123,N/A,2,2
"198 SNYDER'S Road, Baden, ON",Single Family,805900,1989,N/A,3,3
"298 TAGGE Crescent, Kitchener, ON",Single Family,999000,3271,5995,3,4
"414 CRAIGLEITH Drive Unit# 1, Waterloo, ON",Condo/Townhome,799900,2806,4721,3,3
"9 HARVEST Court, Kitchener, ON",Single Family,600000,N/A,3079,3,2
"48 ISAIAH DRIVE, Kitchener, ON",Single Family,1199000,N/A,7185 (2024),6,4
"1154 QUEENS Boulevard, Kitchener, ON",Single Family,1399999,2934,N/A,4,3
"296 OTTAWA Street S, Kitchener, ON",Vacant Land,4699999,N/A,N/A,N/A,0
"288 OTTAWA Street S, Kitchener, ON",Vacant Land,4699999,N/A,N/A,N/A,0
"272 BROADACRE DRIVE, Kitchener, ON",Single Family,1199000,N/A,N/A,4,4
"757 WOOD LILY Street, Waterloo, ON",Single Family,1249000,2677,N/A,4,5
"40 - 143 RIDGE ROAD, Cambridge, ON",Single Family,649900,N/A,3995,2,3
"52 HENRY Street, Kitchener, ON",Single Family,799900,2085,4136,4,3
"1175 KING Street N, St. Jacobs, ON",Single Family,659000,1564,3147,3,1
"1260 KING Street, Cambridge, ON",MultiFamily,849900,1550,N/A,4,3
"916 BANFFSHIRE Court, Kitchener, ON",Single Family,799900,2080,N/A,3,3
"80 PONY WAY, Kitchener, ON",Single Family,798000,N/A,4429,3,3
"70 LOXLEIGH LANE, Breslau, ON",Single Family,789900,N/A,3551,3,3
