Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"2208 - 60 FREDERICK STREET, Kitchener, ON",Condo,328000,N/A,2373,1,1
"375 KING Street N Unit# 1508, Waterloo, ON",Condo,350000,958,N/A,2,1
"84 - 88 JOHN Street W, Waterloo, ON",Townhome,1399000,4220,9048,9,3
"235 DOLMAN Street, Breslau, ON",Single Family,975000,2103,4742,4,3
"1102 - 181 KING STREET S, Waterloo, ON",Condo,499900,N/A,3926 (2024),1,1
"41 VALLEYVIEW Road Unit# 19, Kitchener, ON",Condo,299999,620,N/A,1,1
"321 SPRUCE Street Unit# 605, Waterloo, ON",Condo,359900,619,3071,2,1
"905 DUNNIGAN Court, Kitchener, ON",Single Family,1199900,2637,N/A,4,4
"11 BELMONT Avenue W, Kitchener, ON",MultiFamily,1495000,3366,N/A,4,2
"1062 SNYDERS FLATS Road, Bloomingdale, ON",Vacant Land,999000,N/A,1723,N/A,0
"78 PERIWINKLE STREET, Kitchener, ON",Single Family,849900,N/A,4000 (2024),3,3
"520 PINE HOLLOW Court, Kitchener, ON",Single Family,1189900,3192,N/A,5,4
"323 PASTERN Trail, Waterloo, ON",Single Family,799900,1999,N/A,2,2
"1 VICTORIA Street S Unit# 1301, Kitchener, ON",Condo,699900,1077,N/A,2,2
"985 AUDREY PLACE, Kitchener, ON",Single Family,1799999,N/A,N/A,4,4
"5 WELLINGTON Street S Unit# 1201, Kitchener, ON",Condo,399000,580,N/A,1,1
"271 GREY SILO Road Unit# 1, Waterloo, ON",Condo,1100000,3355,N/A,2,4
"62 BALSAM Street Unit# H201, Waterloo, ON",Condo,500000,N/A,3010,2,2
"296 BLUEVALE Street N Unit# E, Waterloo, ON",Condo,549900,N/A,N/A,3,3
"50 MIDLAND Drive Unit# 22, Kitchener, ON",Single Family,499900,1075,N/A,2,3
"346 SNYDERS ROAD EAST, Baden, ON",Single Family,1974900,N/A,N/A,5,4
"10A - 270 MORRISON ROAD, Kitchener, ON",Condo,629900,N/A,N/A,2,2
"708 - 158 KING STREET N, Waterloo, ON",Condo,458000,N/A,N/A,2,3
"1108 - 35 GREEN VALLEY DRIVE, Kitchener, ON",Condo,329900,N/A,1576,1,1
"397 ZELLER DRIVE Drive, Kitchener, ON",Single Family,1439700,2388,N/A,4,3
"50 COUNTRY CREEK Drive, Baden, ON",Single Family,794900,2200,N/A,3,3
"40 - 515 WEBER STREET N, Waterloo, ON",Condo,577000,N/A,N/A,5,2
"158 HARDING STREET, Kitchener, ON",Single Family,999000,N/A,5273,4,4
"3 - 75 HIGHLAND ROAD, Kitchener, ON",MultiFamily,1599,N/A,N/A,1,1
"2501 - 60 FREDERICK STREET, Kitchener, ON",Condo,358000,N/A,N/A,1,1
"34 RENFREW STREET, Kitchener, ON",Single Family,749900,N/A,N/A,3,3
"11 MANSION Street, Kitchener, ON",Single Family,720000,1100,3653,3,3
"51 - 245 BISHOP STREET, Cambridge, ON",Condo,499999,N/A,N/A,2,2
"58 JOHN STREET W, Waterloo, ON",Single Family,649900,N/A,4212,3,2
"2804 - 15 WELLINGTON STREET, Kitchener, ON",Condo,449000,N/A,N/A,1,1
"136 ST JEROME CRESCENT, Kitchener, ON",Single Family,799900,N/A,3996 (2024),5,2
"H-52 - 175 DAVID BERGEY DRIVE, Kitchener, ON",Condo,639000,N/A,N/A,4,3
"184 GATEWOOD Road, Kitchener, ON",MultiFamily,879900,1945,4837,4,2
"184 GATEWOOD Road, Kitchener, ON",Single Family,879900,1945,N/A,4,2
"371 STRAWBERRY Crescent, Waterloo, ON",MultiFamily,1249900,2703,N/A,4,4
"39 NEWMAN Drive, Cambridge, ON",Single Family,1665000,3549,N/A,5,4
"59 STAMFORD STREET, Woolwich, ON",Single Family,1110501,N/A,4169,6,4
"371 STRAWBERRY Crescent, Waterloo, ON",Single Family,1249900,2703,N/A,4,4
"1100 COURTLAND Avenue E Unit# 1006, Kitchener, ON",Condo,399900,N/A,N/A,1,1
"244 MICHENER Crescent, Kitchener, ON",Single Family,1150000,4085,6326,5,4
"201 - 283 FAIRWAY ROAD, Kitchener, ON",Condo,339000,N/A,N/A,2,1
"69 CANDLE Crescent, Kitchener, ON",Single Family,1130000,1808,N/A,3,3
"6 WILLOW Street Unit# 1807, Waterloo, ON",Condo,525000,1100,N/A,2,1
"155 CAROLINE Street S Unit# 1212, Waterloo, ON",Condo,569900,753,N/A,2,1
"15 WELLINGTON Street S Unit# 2201, Waterloo, ON",Condo,499900,560,N/A,2,1
"452 MIDWOOD Crescent, Waterloo, ON",MultiFamily,849000,1230,3841,6,2
"180 VERMONT Street, Waterloo, ON",Single Family,899000,2097,4034,3,2
"35 CORA Drive, Kitchener, ON",Single Family,889900,2497,N/A,4,2
"410 NORTHFIELD Drive W Unit# E17, Waterloo, ON",Condo,699900,1427,N/A,2,3
"410 NORTHFIELD Drive W Unit# D17, Waterloo, ON",Condo,699900,1427,N/A,2,3
"410 NORTHFIELD Drive W Unit# C16, Waterloo, ON",Condo,699900,1427,N/A,2,3
"410 NORTHFIELD Drive W Unit# E16, Waterloo, ON",Condo,580900,1080,N/A,2,3
"410 NORTHFIELD Drive W Unit# E11, Waterloo, ON",Condo,580900,1080,N/A,2,3
"410 NORTHFIELD Drive W Unit# D5, Waterloo, ON",Condo,580900,1080,N/A,2,3
"410 NORTHFIELD Drive W Unit# C15, Waterloo, ON",Condo,580900,1080,N/A,2,3
"410 NORTHFIELD Drive W Unit# D16, Waterloo, ON",Condo,580900,1080,N/A,2,3
"410 NORTHFIELD Drive W Unit# D10, Waterloo, ON",Condo,580900,1080,N/A,2,3
"410 NORTHFIELD Drive W Unit# D11, Waterloo, ON",Condo,580900,1080,N/A,2,3
"804 - 128 KING STREET N, Waterloo, ON",Condo,599000,N/A,N/A,2,2
"410 NORTHFIELD Drive W Unit# E5, Waterloo, ON",Condo,580900,1080,N/A,2,3
"410 NORTHFIELD Drive W Unit# E10, Waterloo, ON",Condo,580900,1080,N/A,2,3
"211 - 15 WELLINGTON STREET S, Kitchener, ON",Condo,399990,N/A,N/A,1,1
"8 HICKORY Street W Unit# 1105, Waterloo, ON",Condo,965000,2104,6924,5,5
"2 - 740 LINDEN DRIVE N, Cambridge, ON",Single Family,749000,N/A,5200,3,3
"920 ORR COURT, Kitchener, ON",Single Family,1800000,N/A,7153 (2024),3,2
"207 EDEN OAK TRAIL, Kitchener, ON",Single Family,749900,N/A,3794,3,3
"257 HEMLOCK STREET Street Unit# 301, Waterloo, ON",Condo,434900,500,2736,1,1
"210 - 5 WAKE ROBIN DRIVE, Kitchener, ON",Condo,528888,N/A,N/A,1,1
"54 GLEN AVON CRESCENT, Kitchener, ON",Single Family,779900,N/A,3047 (2023),3,2
"7 WYCLIFFE Place, Kitchener, ON",Single Family,729900,1642,N/A,3,2
"6 WILLOW Street Unit# 1908, Waterloo, ON",Condo,549900,940,3436,1,1
"97 CENTURY HILL Drive, Kitchener, ON",Single Family,799900,2088,N/A,3,2
"900 STEEPLERIDGE COURT, Kitchener, ON",Single Family,1259900,N/A,6033,4,3
"207 - 253 ALBERT STREET, Waterloo, ON",Condo,488000,N/A,N/A,2,2
"1601 - 318 SPRUCE STREET, Waterloo, ON",Condo,379000,N/A,N/A,2,2
"5 WELLINGTON Street Unit# 406, Kitchener, ON",Condo,539000,800,N/A,2,2
"619 - 308 LESTER STREET E, Waterloo, ON",Condo,405000,N/A,N/A,1,1
"15 CHARLES Street E, Kitchener, ON",Single Family,699999,1338,6052,2,1
"213 - 50 BRYAN COURT, Kitchener, ON",Condo,529000,N/A,N/A,2,2
"382 WAKE ROBIN CRESCENT, Kitchener, ON",Single Family,699888,N/A,3527,4,2
"204 - 1101 LACKNER PLACE, Kitchener, ON",Condo,599900,N/A,N/A,2,2
"505 MORRISON ROAD, Kitchener, ON",Single Family,3799900,N/A,N/A,6,8
"83 - 261 WOODBINE AVENUE, Kitchener, ON",Condo,559900,N/A,N/A,3,2
"11 MANSION Street, Kitchener, ON",MultiFamily,720000,1100,3653,3,3
"43 FREY Crescent, Kitchener, ON",Single Family,1199900,3871,7522,4,4
"741 KING Street W Unit# 202, Kitchener, ON",Condo,539800,926,N/A,1,2
"741 KING Street W Unit# 201, Kitchener, ON",Condo,504800,959,N/A,2,2
"1801 - 1 VICTORIA STREET S, Kitchener, ON",Condo,698000,N/A,N/A,2,2
"312 OTTERBEIN ROAD, Kitchener, ON",Single Family,2175000,4885,N/A,5,5
"214 UNION Street E, Waterloo, ON",Single Family,650000,1412,N/A,3,2
"LOT 1 NORTH RIDGE Terrace, Kitchener, ON",Single Family,1976000,3165,N/A,4,4
"LOT 12 NORTH RIDGE Terrace, Kitchener, ON",Single Family,2056000,3166,N/A,4,5
"LOT 3 NORTH RIDGE Terrace, Kitchener, ON",Single Family,1845000,3060,N/A,4,4
"LOT 11 NORTH RIDGE Terrace, Kitchener, ON",Vacant Land,699900,N/A,N/A,N/A,0
"28 WEATHERALL AVENUE, Cambridge, ON",Single Family,1099900,N/A,6119,5,3
"20 BRUNSWICK Avenue, Kitchener, ON",Single Family,734900,2685,3793,4,3
"20 BRUNSWICK Avenue, Kitchener, ON",MultiFamily,734900,1720,3793,4,2
"A110 WINTER WREN Crescent, Kitchener, ON",Single Family,742400,1432,N/A,3,3
"111-113 JOSEPH Street, Kitchener, ON",Single Family,1190000,2966,N/A,5,3
"111-113 JOSEPH Street, Kitchener, ON",MultiFamily,1190000,2966,N/A,5,3
"404 KING Street W Unit# 104, Kitchener, ON",Condo,399900,820,N/A,2,1
"132 YOUNG Street, Kitchener, ON",Single Family,1149900,2890,5804,3,4
"132 YOUNG Street, Kitchener, ON",MultiFamily,1149900,2674,5804,3,3
"150 MOUNTAIN HOLLY COURT, Waterloo, ON",Single Family,1264900,N/A,6884,4,3
"260 SHELDON Avenue N Unit# 104, Kitchener, ON",Condo,374900,802,N/A,2,1
"2252 HIDDEN VALLEY CRESCENT, Kitchener, ON",Single Family,2450000,N/A,N/A,4,5
"525 ERINBROOK Drive Unit# B039, Kitchener, ON",Condo,554900,1368,N/A,2,3
"526 WESTFIELD Drive, Waterloo, ON",Single Family,999900,2850,6311,4,4
"778 LAURELWOOD Drive Unit# 705, Waterloo, ON",Condo,549900,1066,3652,2,2
"3 FATHER DAVID BAUER Drive Unit# 207, Waterloo, ON",Condo,579990,N/A,N/A,2,2
"64 BENTON Street Unit# 1002, Kitchener, ON",Condo,179000,670,N/A,1,1
"407 WESTFOREST TRAIL, Kitchener, ON",Single Family,869999,N/A,4436 (2024),4,4
"42 SHANLEY STREET, Kitchener, ON",Single Family,799900,N/A,N/A,3,3
"600 SUNDEW Drive, Waterloo, ON",Single Family,1499000,3545,6592,5,4
"14 DAHLIA Street, Kitchener, ON",Single Family,849900,2195,3600,3,4
"1407 - 330 PHILLIP STREET N, Waterloo, ON",Condo,520000,N/A,N/A,2,1
"1609 - 128 KING STREET N, Waterloo, ON",Condo,485000,N/A,2902,1,1
"1 VICTORIA Street S Unit# 601, Kitchener, ON",Condo,449900,N/A,N/A,1,1
"55 HOPEWELL CROSSING Drive, Breslau, ON",Single Family,1250000,3064,5497,4,4
"318 ROXTON Drive Unit# 3, Waterloo, ON",Single Family,1000000,1653,5675,4,3
"71 MELBOURNE Crescent, Waterloo, ON",Single Family,850000,N/A,4696,3,2
"50 BRYAN Court Unit# 31, Kitchener, ON",Condo/Townhome,945000,2223,5333,3,3
"445 PIONEER Drive Unit# 3, Kitchener, ON",Condo,470000,N/A,N/A,2,2
"34 SPORTSMAN HILL STREET W, Kitchener, ON",Single Family,999999,N/A,1914 (2023),3,3
"14 - 350 FISHER MILLS ROAD, Cambridge, ON",Condo,485000,N/A,N/A,2,2
"129 MALLARD CRESCENT, Waterloo, ON",Single Family,875000,N/A,4335,3,2
"17 PETER Street Unit# 10, Kitchener, ON",Condo,499999,1074,N/A,2,1
"133 WAKE ROBIN DRIVE, Kitchener, ON",Single Family,779900,N/A,N/A,4,2
"18 ZINGERVILLA Place, Maryhill, ON",Single Family,1199000,1576,N/A,3,2
"17 PETER Street Unit# 9, Kitchener, ON",Condo,499999,1074,N/A,2,1
"237 KING Street W Unit# 407, Cambridge, ON",Condo,375000,722,2289,1,2
"108 GARMENT Street Unit# 1212, Kitchener, ON",Condo,409000,549,N/A,1,1
"11 SHANLEY STREET, Kitchener, ON",Single Family,749000,N/A,N/A,4,3
"1989 OTTAWA Street S Unit# 30A, Kitchener, ON",Condo/Townhome,524900,882,3157,2,1
"641 DUNBAR ROAD, Cambridge, ON",Single Family,849000,N/A,N/A,6,2
"524 FOX COVE Place, Waterloo, ON",Single Family,2249900,5511,14366,6,4
"1 - 17 GIBSON DRIVE, Kitchener, ON",Condo,499900,N/A,2023 (2023),2,2
"LOT 0103 JACOB DETWEILLER Drive, Kitchener, ON",Single Family,939900,1642,N/A,3,3
"66 STAUFFER WOODS Trail Unit# Lot 0063, Kitchener, ON",Single Family,1193900,2474,N/A,4,4
"80 - 80 WHEAT LANE, Kitchener, ON",Condo,699000,N/A,3208,2,3
"234 ERB STREET E, Waterloo, ON",Single Family,845000,N/A,N/A,6,2
"12 STEED COURT, Cambridge, ON",Single Family,1469999,N/A,N/A,7,6
"12 DUCKWORTH ROAD, Cambridge, ON",Single Family,949999,N/A,N/A,4,3
"504 FLORENCEDALE CRESCENT, Kitchener, ON",Single Family,1300000,N/A,N/A,4,4
"85 EAGLECREST STREET, Kitchener, ON",Single Family,1349000,N/A,5505,6,5
"191 CARTER Avenue, Waterloo, ON",Single Family,690000,924,N/A,3,2
"11 GRAND RIVER Boulevard Unit# 30, Kitchener, ON",Condo/Townhome,569999,1760,2230,4,2
"144 PARK Street Unit# 501, Waterloo, ON",Condo,549900,1000,N/A,2,2
"803 - 190 HESPELER ROAD, Cambridge, ON",Condo,549000,N/A,3718,2,2
"51 THIRD Avenue, Kitchener, ON",MultiFamily,749900,2200,3933,4,2
"53 THIRD Avenue, Kitchener, ON",MultiFamily,749900,2200,3933,4,2
"10 MARIANNE DORN TRAIL, Kitchener, ON",Single Family,1069000,N/A,N/A,4,3
"111 LANCASTER STREET E, Kitchener, ON",Single Family,825000,N/A,N/A,3,3
"28 - 755 LINDEN DRIVE, Cambridge, ON",Single Family,799000,N/A,N/A,3,3
"1170 RATCLIFFE DRIVE, Cambridge, ON",Vacant Land,1240000,N/A,N/A,N/A,0
"1414 KING Street E Unit# 602, Kitchener, ON",Condo,359900,626,1642,1,1
"280 TALL GRASS Crescent Unit# 3, Kitchener, ON",Single Family,1149000,2285,6224,3,3
"125 STEEPLERIDGE Street, Kitchener, ON",Single Family,1239000,2740,N/A,3,4
"2205 CORONATION BOULEVARD, Cambridge, ON",Single Family,1295550,N/A,6960,8,5
"111 LANCASTER Street E, Kitchener, ON",MultiFamily,825000,1991,N/A,2,2
"111 - 330 PHILLIP STREET, Waterloo, ON",Condo,507999,N/A,N/A,2,1
"3723 LOBSINGER LINE N, Wellesley, ON",Single Family,1399900,N/A,N/A,4,4
"134 PONDCLIFFE Drive, Kitchener, ON",Single Family,1250000,2948,7345,4,4
"11 SHEDROW PLACE, Kitchener, ON",Single Family,765000,N/A,N/A,3,3
"1412 - 145 COLUMBIA STREET W, Waterloo, ON",Condo,520000,N/A,5146,2,1
"139 FATHER DAVID BAUER Drive Unit# 434, Waterloo, ON",Condo,430500,N/A,N/A,1,1
"139 FATHER DAVID BAUER Drive Unit# 503, Waterloo, ON",Condo,419500,N/A,N/A,2,2
"243 GREY SILO Road Unit# 19, Waterloo, ON",Condo,895000,2597,7304,3,3
"34 - 470 LINDEN DRIVE, Cambridge, ON",Single Family,699000,N/A,5743,4,3
"60 FREDERICK Street Unit# 3109, Kitchener, ON",Condo,569900,690,347482,2,2
"191 KING Street S Unit# 908, Waterloo, ON",Condo,589900,834,N/A,2,2
"55 DUKE Street W Unit# 1210, Kitchener, ON",Condo,559000,838,3487,2,1
"15 STAUFFER WOODS Trail Unit# J037, Kitchener, ON",Condo,653900,1729,N/A,3,3
"5 MICHELLE Court, Kitchener, ON",Single Family,799000,1732,3759,3,4
"712 PARIS Boulevard, Waterloo, ON",Single Family,800000,N/A,N/A,3,3
"573 SUGARBUSH Drive, Waterloo, ON",Single Family,4500000,N/A,N/A,5,7
"514 AMERICAN BEECH Avenue, Waterloo, ON",Single Family,1099000,2348,N/A,4,3
"1414 KING Street E Unit# 501, Kitchener, ON",Condo,424900,844,N/A,2,1
"130 CHANDOS Drive, Kitchener, ON",Single Family,1149900,2973,N/A,4,4
"150 QUEEN Street S Unit# 305, Kitchener, ON",Condo,499900,1379,2743,2,2
"1312 MICHAEL Crescent, Cambridge, ON",Single Family,799900,1098,3779,3,2
"653 ALBERT Street Unit# C, Waterloo, ON",Condo,499900,N/A,N/A,2,2
"547 ST MORITZ Avenue, Waterloo, ON",Single Family,1088888,N/A,N/A,4,4
"43 TURNER Avenue, Kitchener, ON",Vacant Land,1000000,N/A,N/A,N/A,0
"1110 - 55 DUKE STREET W, Kitchener, ON",Condo,479900,N/A,N/A,2,1
"119 - 338 ALBERT STREET, Waterloo, ON",Condo/Townhome,675000,N/A,N/A,3,3
"54 - 3085 KINGSWAY DRIVE, Kitchener, ON",Condo,439888,N/A,N/A,2,1
"30 GREEN VALLEY Drive Unit# 23, Kitchener, ON",Condo,679900,2080,2698,4,3
"219 RIDGE ROAD, Cambridge, ON",Single Family,1129900,2355,N/A,4,3
"85 DUKE Street W Unit# 105, Kitchener, ON",Condo,497000,739,3740,2,2
"36 RUSKVIEW Road, Kitchener, ON",Single Family,769900,1148,N/A,3,2
"234 HEIMAN STREET Unit# 302, Kitchener, ON",Condo,499900,N/A,3382,2,1
"1381 KING Street N, St. Jacobs, ON",Single Family,999900,3585,16663,N/A,0
"560 PARKVIEW Crescent, Cambridge, ON",Single Family,519900,1018,N/A,3,1
"142 SPADINA Road W, Kitchener, ON",Single Family,664900,1635,N/A,3,1
"265 WESTCOURT Place Unit# 605, Waterloo, ON",Condo,589900,1363,N/A,2,2
"18 ROEHAMPTON Court, Kitchener, ON",Single Family,1100000,2876,5906,3,4
"195 RIVERBANK Drive, Cambridge, ON",Single Family,2499900,6125,N/A,9,8
"209 RODNEY Street, Waterloo, ON",Single Family,795000,N/A,N/A,4,2
"913 RUSH MEADOW Court, Kitchener, ON",Single Family,1150000,3422,N/A,4,4
"314 - 15 PRINCE ALBERT BOULEVARD, Kitchener, ON",Condo,469000,N/A,N/A,2,2
"39 CHANTILLY Street, Kitchener, ON",Single Family,797000,2017,4024,3,2
"45 - 420 LINDEN DRIVE, Cambridge, ON",Single Family,614000,N/A,N/A,3,2
"10 ELLEN Street E Unit# 803, Kitchener, ON",Condo,325000,N/A,N/A,1,1
"C - 235 RACHEL CRESCENT, Kitchener, ON",Condo,549999,N/A,N/A,2,2
"1221 LOBSINGER Line, Waterloo, ON",Single Family,1499000,N/A,N/A,2,2
"78 MISTY STREET, Kitchener, ON",Single Family,799900,N/A,4379,3,2
"67 KNOTTY PINE AVENUE, Cambridge, ON",Single Family,999900,N/A,6200,8,4
"525 NEW DUNDEE Road Unit# 811, Kitchener, ON",Condo,524000,723,N/A,1,1
"98 WATERLOO Street, Waterloo, ON",MultiFamily,849900,1980,N/A,5,3
"244 RIDGE ROAD, Cambridge, ON",Single Family,1389900,N/A,N/A,5,5
"74 HEARTHWOOD Crescent, Kitchener, ON",Single Family,1179900,4213,N/A,5,4
"102 DAWSON Street, Waterloo, ON",Single Family,1275000,1719,N/A,3,3
"1 VICTORIA Street Unit# 1602, Kitchener, ON",Condo,699900,987,N/A,2,2
"375 RIVER OAK PLACE, Waterloo, ON",Single Family,3695000,N/A,N/A,5,6
"19 HOMEWOOD Avenue, Kitchener, ON",Single Family,949000,2037,4715,3,2
"142 FOAMFLOWER Place Unit# A012, Waterloo, ON",Condo/Townhome,623900,1278,N/A,2,3
"338 RIVER OAK Place, Waterloo, ON",Single Family,2950000,6897,N/A,7,6
"245 BISHOP Street S Unit# 42, Cambridge, ON",Condo,524900,N/A,N/A,2,2
"60 ELMSDALE Drive Unit# 35, Kitchener, ON",Condo,549900,1617,N/A,3,2
"219 CORRIE Crescent, Waterloo, ON",Single Family,1800000,4957,12029,5,4
"37 SPORTSMAN HILL STREET, Kitchener, ON",Single Family,739990,N/A,N/A,4,3
"277 BROADACRE DRIVE, Kitchener, ON",Single Family,1199999,N/A,N/A,4,4
"404 KING Street W Unit# 417, Kitchener, ON",Condo,349900,650,2863,2,1
"1602 - 104 GARMENT STREET, Kitchener, ON",Condo,519999,N/A,N/A,2,1
"52 ROSEWOOD Drive, Kitchener, ON",Single Family,1679000,1863,N/A,4,4
"1662 FISCHER HALLMAN Road Unit# F, Kitchener, ON",Condo/Townhome,499900,N/A,N/A,2,1
"119 WALKER Street, Kitchener, ON",MultiFamily,724985,1100,3462,5,2
"203 BREITHAUPT Street, Kitchener, ON",MultiFamily,739000,2100,3959,2,3
"39,43 TURNER Avenue, Kitchener, ON",Vacant Land,2100000,N/A,9228,N/A,0
"39 TURNER Avenue, Kitchener, ON",Vacant Land,1100000,N/A,N/A,N/A,0
"3227 KING Street E Unit# 409, Kitchener, ON",Condo,434900,1032,N/A,2,2
"16 MONTANA Crescent, Kitchener, ON",Single Family,774900,1677,3946,3,2
"1989 OTTAWA Street Unit# 20E, Kitchener, ON",Condo,524000,1113,N/A,2,2
"707 CONSERVATION Drive, Waterloo, ON",Single Family,969999,N/A,N/A,3,2
"307 - 250 ALBERT STREET, Waterloo, ON",Condo,379900,N/A,N/A,1,1
"1125-1127 DUKE Street, Cambridge, ON",MultiFamily,598000,1700,N/A,3,2
"90 BROADACRE DRIVE, Kitchener, ON",Single Family,1099000,N/A,N/A,4,4
"843 BRANDENBURG BOULEVARD, Waterloo, ON",Single Family,999900,N/A,N/A,5,4
"318 SPRUCE Street Unit# 1506, Waterloo, ON",Condo,389900,688,N/A,2,2
"6 WEST OAK TRAIL, Kitchener, ON",Single Family,879900,N/A,N/A,3,3
"158 WHEAT Lane, Kitchener, ON",Condo,549900,975,2958,2,2
"27 SPACHMAN STREET, Kitchener, ON",Single Family,1349900,N/A,6872 (2024),4,4
"25 ISHERWOOD Avenue Unit# H123, Cambridge, ON",Condo,559000,1119,N/A,2,3
"13 - 461 COLUMBIA STREET W, Waterloo, ON",Single Family,824900,N/A,N/A,4,3
"330 PHILLIP Street Unit# 514, Waterloo, ON",Condo,519000,546,N/A,2,1
"91 RED CLOVER CRESCENT N, Kitchener, ON",Single Family,925000,N/A,4230 (2023),3,2
"53 RUSHOLME ROAD, Kitchener, ON",Single Family,1980000,N/A,8655,3,3
"192 ALPINE Road Unit# 13, Kitchener, ON",Condo,569900,N/A,3068,2,2
"153 ORIOLE Street, Waterloo, ON",Single Family,740000,1713,N/A,3,2
"112 KINGSWOOD Drive Unit# 21, Kitchener, ON",Condo/Townhome,589000,1699,2315,3,2
"121 PARKLAND CRESCENT, Kitchener, ON",Single Family,879900,N/A,N/A,3,4
"180 OLD ABBEY Road Unit# 1, Waterloo, ON",Single Family,839900,N/A,5306,2,3
"690 KING Street W Unit# 522, Kitchener, ON",Condo,489900,951,3983,1,1
"415-435 GARDEN Street, Cambridge, ON",Condo/Townhome,4590000,11128,N/A,24,10
"929 ROBERT FERRIE DRIVE, Kitchener, ON",Single Family,829000,N/A,4697 (2024),3,3
"103 GAY Crescent, Kitchener, ON",Single Family,879900,2149,N/A,4,2
"5C - 185 WINDALE CRESCENT, Kitchener, ON",Condo,349000,N/A,N/A,1,1
"376 RIVER OAK Place, Waterloo, ON",Single Family,3499000,6691,N/A,4,7
"15 ST LEGER Street, Kitchener, ON",Single Family,649900,1750,N/A,4,2
"212 WATERBROOK LANE, Kitchener, ON",Single Family,919900,N/A,N/A,3,3
"1123 NOTRE DAME Drive, Petersburg, ON",Single Family,2250000,N/A,N/A,4,4
"110 FERGUS Avenue Unit# 110, Kitchener, ON",Condo,525000,922,3297,2,2
"59 LAKESIDE Drive, Kitchener, ON",Single Family,759900,N/A,4239,3,2
"227 FAIRWAY Road N, Kitchener, ON",MultiFamily,660000,1500,3742,2,2
"227 FAIRWAY ROAD N, Kitchener, ON",Single Family,660000,N/A,3742,2,2
"H404 - 275 LARCH STREET, Waterloo, ON",Condo,515000,N/A,2930,2,2
"214 SNYDERS Road Unit# 19, Baden, ON",Single Family,734900,N/A,N/A,3,2
"152 WHEAT Lane, Kitchener, ON",Condo/Townhome,589900,1225,N/A,2,3
"149 FOXHUNT ROAD, Waterloo, ON",Single Family,799900,N/A,N/A,3,3
"1305 - 60 FREDERICK STREET, Kitchener, ON",Condo,389990,N/A,2711,1,1
"530 WASAGA CRESCENT, Waterloo, ON",Single Family,1199000,N/A,N/A,4,5
"704 - 145 COLUMBIA STREET, Waterloo, ON",Condo,574900,N/A,5571,2,1
"229 WEST OAK TRAIL, Kitchener, ON",Condo/Townhome,554900,N/A,N/A,3,2
"11 WHEATFIELD CRESCENT, Kitchener, ON",Single Family,749000,N/A,N/A,3,2
"233 - 55 DUKE STREET, Kitchener, ON",Condo,479999,N/A,N/A,2,1
"55 DUKE Street Unit# 1108, Kitchener, ON",Condo,610000,1024,N/A,2,2
"74 PADDOCK Court, Kitchener, ON",Single Family,2999900,N/A,N/A,7,4
"155 CAROLINE Street S Unit# 709, Waterloo, ON",Condo,764900,1117,N/A,2,2
"217 WATERVALE Crescent, Kitchener, ON",Single Family,1079990,2150,N/A,4,3
"223 BROADACRE DRIVE, Kitchener, ON",Single Family,749900,N/A,N/A,4,4
"14 COLUMBIA STREET W, Waterloo, ON",Single Family,1368000,N/A,N/A,12,6
"404 KING Street W Unit# 306, Kitchener, ON",Condo,394900,820,N/A,2,1
"15 DOON CREEK Street, Kitchener, ON",Single Family,1299900,2950,7140,4,3
"785 SUNDROPS Court, Waterloo, ON",Single Family,1490000,N/A,N/A,4,4
"123 KRUG Street, Kitchener, ON",MultiFamily,1085000,2050,N/A,5,3
"14 COLUMBIA Street W, Waterloo, ON",MultiFamily,1368000,2064,N/A,12,6
"48 WINDOM Road Unit# G, Kitchener, ON",Condo/Townhome,399900,1252,1782,2,2
"470 LINDEN DRIVE Drive Unit# 30, Cambridge, ON",Single Family,759000,1750,6007,3,3
"265 WESTCOURT Place Unit# 802, Waterloo, ON",Condo,419900,1091,N/A,2,1
"15 FLORAL Crescent, Kitchener, ON",MultiFamily,2500000,8736,N/A,11,11
"93 OLD CHICOPEE Drive, Kitchener, ON",Single Family,965000,1945,5460,4,4
"956 BIANCA Court, Kitchener, ON",Single Family,899900,2188,N/A,4,4
"403 EQUESTRIAN WAY, Cambridge, ON",Single Family,949900,N/A,6881 (2024),4,3
"121 UNIVERSITY Avenue E Unit# 2, Waterloo, ON",Condo,549000,1450,2818,5,3
"539 BELMONT Avenue W Unit# 1107, Kitchener, ON",Condo,879900,2156,N/A,2,2
"15 WELLINGTON Street S Unit# 612, Kitchener, ON",Condo,449000,625,N/A,1,1
"6 WILLOW Street Unit# #1505, Waterloo, ON",Condo,890000,1715,4853,2,2
"5146 Township Road 1, Guelph/Eramosa, ON",Single Family,2399900,4416,9638,5,7
"25 ISHERWOOD Avenue Unit# J138, Cambridge, ON",Condo,799000,1822,4300,3,3
"423 WOOLWICH Street, Waterloo, ON",Single Family,899000,1522,N/A,3,3
"205 EDEN OAK Trail, Kitchener, ON",Single Family,949000,2490,5346,4,4
"35 WATERBOW TRAIL, Kitchener, ON",Single Family,1099999,N/A,N/A,4,3
"360 CHOKECHERRY CRESCENT, Waterloo, ON",Single Family,1069000,N/A,N/A,4,3
"191 KING Street S Unit# 906, Waterloo, ON",Condo,514900,691,N/A,1,2
"364 CHOKECHERRY CRESCENT, Waterloo, ON",Single Family,1069000,N/A,N/A,4,3
